,scale type,regression type,learning rate,eta0,iterations,mse,r2
0,none,1,constant,0.0001,100000,3.1994760746306166e+30,-2.3664383471909382e+20
1,none,1,constant,0.0001,200000,1.3574697565696394e+30,-1.048623225244985e+20
2,none,1,constant,1e-05,100000,1.269658697057029e+28,-9.286319303198683e+17
3,none,1,constant,1e-05,200000,1.0312185859062366e+28,-7.621385084178845e+17
4,none,1,adaptive,0.0001,100000,2.035311134412966e+26,-1.5906768920795898e+16
5,none,1,adaptive,0.0001,200000,1.2916365328623481e+26,-9641325531749898.0
6,none,1,adaptive,1e-05,100000,7.808656428507983e+25,-5967652049223593.0
7,none,1,adaptive,1e-05,200000,2.0874592156896114e+25,-1552874257505453.2
8,none,2,constant,0.0001,100000,7.84228008348042e+47,-5.756645097922095e+37
9,none,2,constant,0.0001,200000,2.8694972455462313e+46,-2.1146922348822443e+36
10,none,2,constant,1e-05,100000,2.864736087662975e+44,-2.1773198180039964e+34
11,none,2,constant,1e-05,200000,4.498284776469085e+45,-3.344930475772433e+35
12,none,2,adaptive,0.0001,100000,2.450039154765708e+43,-1.8725756683134076e+33
13,none,2,adaptive,0.0001,200000,2.4666408432945634e+42,-1.8464306552460016e+32
14,none,2,adaptive,1e-05,100000,4.594331051848927e+42,-3.433381683012413e+32
15,none,2,adaptive,1e-05,200000,1.8614096362773452e+41,-1.397246045086244e+31
16,none,3,constant,0.0001,100000,8.450590888126087e+65,-6.149334458488931e+55
17,none,3,constant,0.0001,200000,7.385126591629159e+64,-5.54822129320602e+54
18,none,3,constant,1e-05,100000,2.2319263034397423e+64,-1.671091314258391e+54
19,none,3,constant,1e-05,200000,2.8513229276332405e+63,-2.104317412793771e+53
20,none,3,adaptive,0.0001,100000,1.4169610163305473e+61,-1.0815895645803707e+51
21,none,3,adaptive,0.0001,200000,2.8402611389946993e+61,-2.0964425644962655e+51
22,none,3,adaptive,1e-05,100000,1.3446035725058825e+61,-1.0181850024175682e+51
23,none,3,adaptive,1e-05,200000,4.017805729193189e+60,-2.9847066043215263e+50
24,std,1,constant,0.0001,100000,4822027490.526,0.6394119955436446
25,std,1,constant,0.0001,200000,4823383341.46631,0.6393111781867533
26,std,1,constant,1e-05,100000,4821813554.6157055,0.6394311637204686
27,std,1,constant,1e-05,200000,4822387838.027527,0.6393880074713636
28,std,1,adaptive,0.0001,100000,4821022774.96781,0.6394909083748306
29,std,1,adaptive,0.0001,200000,4821113179.404076,0.6394839250141787
30,std,1,adaptive,1e-05,100000,4820876339.8130245,0.6395026536647465
31,std,1,adaptive,1e-05,200000,4820953809.131675,0.6394970135887238
32,std,2,constant,0.0001,100000,4434691933.665395,0.6683980394577013
33,std,2,constant,0.0001,200000,4439978948.4780855,0.6679451743173013
34,std,2,constant,1e-05,100000,4435894877.117449,0.6683303519205881
35,std,2,constant,1e-05,200000,4435094740.361016,0.6684060869811361
36,std,2,adaptive,0.0001,100000,4408583416.175047,0.6703731929678097
37,std,2,adaptive,0.0001,200000,4409279253.337515,0.6703206193607736
38,std,2,adaptive,1e-05,100000,4400734723.407667,0.6709600334913541
39,std,2,adaptive,1e-05,200000,4402149187.685264,0.6708537593143105
40,std,3,constant,0.0001,100000,7.337945258767467e+20,-53746524695.55468
41,std,3,constant,0.0001,200000,9.490809503681729e+18,-707900237.0675757
42,std,3,constant,1e-05,100000,4256117646.97429,0.6816610816427702
43,std,3,constant,1e-05,200000,4256577971.1179323,0.6816487519942064
44,std,3,adaptive,0.0001,100000,1.3329962484180818e+16,-995309.2624378905
45,std,3,adaptive,0.0001,200000,1.577019776957159e+17,-11863818.18960386
46,std,3,adaptive,1e-05,100000,4273990316.474121,0.6802980407656947
47,std,3,adaptive,1e-05,200000,4274859748.9211516,0.6802400102672914
48,robust,1,constant,0.0001,100000,4905507668.162859,0.6330649085380433
49,robust,1,constant,0.0001,200000,4893329360.0462675,0.6339998792198597
50,robust,1,constant,1e-05,100000,4901571583.986608,0.6333655732641608
51,robust,1,constant,1e-05,200000,4899732529.131579,0.6335040122320346
52,robust,1,adaptive,0.0001,100000,4890143163.739754,0.6342140165022494
53,robust,1,adaptive,0.0001,200000,4889898959.198805,0.634232474944267
54,robust,1,adaptive,1e-05,100000,4889294989.43661,0.6342773571047905
55,robust,1,adaptive,1e-05,200000,4889410193.939969,0.6342689436806184
56,robust,2,constant,0.0001,100000,4.999899208070564e+21,-387122383925.4241
57,robust,2,constant,0.0001,200000,1.6231371905643217e+20,-11872634199.447327
58,robust,2,constant,1e-05,100000,5333873355.248473,0.6004957090916219
59,robust,2,constant,1e-05,200000,5230092109.505373,0.6079037752090185
60,robust,2,adaptive,0.0001,100000,4.789309025844333e+17,-35080253.85700627
61,robust,2,adaptive,0.0001,200000,9985710717590424.0,-734081.5982970488
62,robust,2,adaptive,1e-05,100000,5016018116.981044,0.6233747835384069
63,robust,2,adaptive,1e-05,200000,5014972755.559331,0.6235130418188954
64,robust,3,constant,0.0001,100000,3.487457822575276e+26,-2.5774970297040184e+16
65,robust,3,constant,0.0001,200000,5.077969586405593e+25,-3832716655430541.5
66,robust,3,constant,1e-05,100000,2.088253246018651e+25,-1600357219228522.0
67,robust,3,constant,1e-05,200000,1.7505593354800623e+25,-1364812013036998.8
68,robust,3,adaptive,0.0001,100000,1.1874355891407563e+23,-8789213531588.32
69,robust,3,adaptive,0.0001,200000,1.0628866146961385e+23,-7860006538869.073
70,robust,3,adaptive,1e-05,100000,5.860546939755583e+21,-435036311478.3781
71,robust,3,adaptive,1e-05,200000,7.095636211404368e+22,-5311644117024.346
